sst_celsius,lpue_tons
19.09349653,28.53103316
19.17958534,35.81485701
19.3695098,33.98417265
19.2165046,27.24172983
19.24909472,26.57770451
19.31052205,26.78191766
19.28165117,26.28635156
19.27454195,24.96162689
19.17875094,25.04884985
19.13008277,23.64322151
19.5056961,26.85575368
19.60704352,25.27759185
19.62343213,23.9103782
19.78586639,26.30456112
19.76628612,22.99283258
19.85313076,21.91223242
19.72149061,18.72988322
19.71072202,17.90222132
19.82645999,17.06873901
20.00913679,15.44542745
20.32708319,16.83866663
19.98159421,20.25000728
20.01937406,22.15303098
20.01014331,24.30666478
19.93063239,24.22750724
